temperature,city,pression,date
290.23,Paris,1015,2023-09-19 09:28
290.27,London,1005,2023-09-19 09:28
281.7,Washington,1017,2023-09-19 09:28
290.23,Paris,1015,2023-09-19 09:27
290.27,London,1005,2023-09-19 09:27
281.7,Washington,1017,2023-09-19 09:27
290.23,Paris,1015,2023-09-19 09:26
290.27,London,1005,2023-09-19 09:26
281.7,Washington,1017,2023-09-19 09:26
290.16,Paris,1015,2023-09-19 09:25
290.27,London,1005,2023-09-19 09:25
281.7,Washington,1017,2023-09-19 09:25
290.16,Paris,1015,2023-09-19 09:24
290.27,London,1005,2023-09-19 09:24
281.7,Washington,1017,2023-09-19 09:24
290.23,Paris,1015,2023-09-19 09:23
290.27,London,1005,2023-09-19 09:23
281.7,Washington,1017,2023-09-19 09:23
290.17,Paris,1015,2023-09-19 09:22
290.25,London,1004,2023-09-19 09:22
282.2,Washington,1017,2023-09-19 09:22
290.17,Paris,1015,2023-09-19 09:21
290.25,London,1004,2023-09-19 09:21
282.2,Washington,1017,2023-09-19 09:21
290.17,Paris,1015,2023-09-19 09:20
290.25,London,1004,2023-09-19 09:20
282.2,Washington,1017,2023-09-19 09:20
290.17,Paris,1015,2023-09-19 09:19
290.25,London,1004,2023-09-19 09:19
282.2,Washington,1017,2023-09-19 09:19
290.01,Paris,1015,2023-09-19 09:18
290.25,London,1004,2023-09-19 09:18
282.2,Washington,1017,2023-09-19 09:18
290.01,Paris,1015,2023-09-19 09:17
290.21,London,1004,2023-09-19 09:17
282.2,Washington,1017,2023-09-19 09:17
290.01,Paris,1015,2023-09-19 09:16
290.21,London,1004,2023-09-19 09:16
282.2,Washington,1017,2023-09-19 09:16
290.01,Paris,1015,2023-09-19 09:15
290.21,London,1004,2023-09-19 09:15
282.2,Washington,1017,2023-09-19 09:15
290.01,Paris,1015,2023-09-19 09:14
290.13,London,1004,2023-09-19 09:14
282.2,Washington,1017,2023-09-19 09:14
289.52,Paris,1015,2023-09-19 09:13
290.13,London,1004,2023-09-19 09:13
282.2,Washington,1017,2023-09-19 09:13
290.01,Paris,1015,2023-09-19 09:12
290.13,London,1004,2023-09-19 09:12
282.2,Washington,1017,2023-09-19 09:12
289.61,Paris,1015,2023-09-19 09:11
290.13,London,1004,2023-09-19 09:11
282.2,Washington,1017,2023-09-19 09:11
289.61,Paris,1015,2023-09-19 09:09
290.13,London,1004,2023-09-19 09:09
281.12,Washington,1017,2023-09-19 09:09
